description,name
   St. Francis Health Care Services is a HIV/AIDS clinic and service organization in central Uganda which serves clients of all ages in its efforts to mitigate the impact of HIV/AIDS for both the infected and affected population.  ,St Francis Health Care Services- Uganda
"              Here at Himalayan Media Welfare Society we commit entirely to improving the lives of the communities in which we help, all donations and finance will go directly to this cause and will be used in the most efficient way possible to improve the future of our region  ","Himalayan Media Welfare Society - Gorubathan(Darjeeling),India"
"   Tiritose is a not for profit organisation based in Zimbabwe that promotes cros cultural exchanges between Zimbabwean organisations, communities and educational institutions.   ",Tiritose
   Tuwape Tumaini Children’s Foundation strives to change and advocate for many livelihoods while working together on several community projects and with over 300 children and youth for the past 4 years.   ,Tuwape Tumaini Children's Foundation
"   Culture Exchange Global Foundation (CEG) is a Non-Governmental Organization in GHANA that offers hope to the poor, the needy and the handicapped.   ",Culture Exchange Global Foundation
   INSPIREnepal is a volunteering organization which focuses on disabled and disadvantaged children and youngsters of Nepal. We also offer volunteering places in other areas.  ,INSPIREnepal
"   A photography holidays and travel tours company based in Essaouira, Morocco.  ",Images in the Sun
"   We're a non-profit Spanish school in Xela, Guatemala offering high quality Spanish lessons at excellent value and meaningful volunteer placements for individuals, families and groups.  ",Kamalbe Spanish School and Volunteer Center
"   The Ara Project is a Costa Rican non profit organization dedicated to the conservation of the two native macaw species, both of which are endangered, the Scarlet Macaw (Ara macao) and the Great Green or Buffon's Macaw (Ara ambiguus).  ",The Ara Project
   Kuti is run by a non-profit Trust with the key objective of protecting wildlife and conserving the environment by working together with the local communities.  ,Kuti Wildlife Reserve
"   Wildlife Research and Conservation project, South Africa. Situated at a famous Big 5 Game Reserve in the World Heritage Waterberg Biosphere area.        ",Wildlife Research Africa
"One of the UK's busiest wildlife hospitals, treating over 4,000 casualties every year, with the main aim being to release animals back into the wild once fit.",Vale Wildlife Hospital & Rehabilitation Centre
"   There are many ways to get involved in Article 25, such as volunteering your time and expertise in the London headquarters, Joining a student chapter, becoming a corporate partner, attending events, or organising your own fundraising activities.  ",Article 25
"   La casa de los tiempos is a travel agency in the centrum of Quetzaltenango, Guatemala. Besides our travel agency, we also have an organisation for voluntary work, Fomento para el Desarrollo Integral (FDI Guatemala)  ",La casa de los tiempos
"   HOOP is a non-profit organisation enhancing the education of disadvantaged children and their families in Arequipa, Peru.  ",Helping Overcome Obstacles Peru (HOOP)
"   A small, Christian Community Based Organisation set up in 2015. The heart of this organisation is to address both physical and spiritual needs of rural communities around the world, and to do so in a way that is sustainable and empowering.  ",Ratidzo Trust
"The Orangutan Health Project (OHP), the first of its kind for orangutans, investigates the special behaviours and ecological conditions necessary to maintain health in wild orangutans.",Orangutan Health
   Low-cost volunteering placements in South America.  ,YouVolunteer
"   Domino Volunteers is an all-encompassing and affordable volunteer organization in Cartagena, Colombia.  ","Domino Volunteers - Cartagena, Colombia"
VPAI is a non-profit organisation that supports initiatives by rural islanders in Vanuatu (Southwest Pacific) to protect and conserve their environment.,VPAI
   This is grassroot and youth non profit sports program set up to provide hope and opportunities for young people regardless of race religion and economic status  ,National Youth Sports Academy of Liberia
"Volunteering Ecuador: Help children, the community and the environment. Share the life of an Ecuadorian family, experience the culture, eat the food, dance the dance, learn the lingo!",Eco–Volunteer UP
"A non-profit making language school in Villarrica, Paraguay for students wishing to study Spanish and do volunteer work in the local community.",Filomena Language Center
"HelpnTravel Nepal Volunteer program: is under the ""Group Initiation For Social Transformation"". We are non-government organization ( NGO ) registered with Nepal Government.",Help n Travel Nepal Volunteer Program
"Ceylon Placements can provide a unique experience for students or volunteers of any age group wishing to have a gap year, a career break or just an extended holiday in Sri Lanka.",Ceylon Placements Ltd.
"Youths Organization is a non governmental, non partisan and non profit making organization.",Youths Organization
"Volunteering is a way to discover a country, its culture and people. This prpogam offers the volunteers a chance to contribute to the well being of the society and more so for those less fortunate.",Summit Africa
Ecuadent is a non-profit organization built on the talent of dedicated volunteers. ,Ecuadent Foundation
   Medics To Africa's Mission is to offer valuable medical projects placement for international students and volunteers in health care programs & education in Africa.  ,Medics To Africa
