contact_number,description,email,cause_area,name,website,address
+91-11-29960931/2/3+91-11-29955183       ,"Vision and Mission:Making democracy work for allPRIA's vision of a desirable world is based on values of equity, justice, freedom, peace and solidarity with a philosophy -- Knowledge Is Power -- that takes forward all its actions.PRIA's mission is to work towards the promotion of policies, institutions and capacities that strengthen citizen participation and promote democratic governance.   ",rajesh.tandon@pria.org  ,"Education, Women and Girls",Participatory Research in Asia,http://www.pria.org,"Plot No. 42 Tughlakabad Institutional Area, New Delhi, 110062 INDIA"
91-11-4164-2348-5191-11-41642995       ,    , viraf.mehta@picindia.org ,Economic Empowerment,Partners in Change,http://www.picindia.org,"C75, South Extension Part 2, New Delhi, 110049 INDIA"
083-552-1155        ,"PASALI Philippines commits to actively engage migrants and the youth in building entrepreneurial, peaceful and resilient communities.   ",ppf@pasaliphilippines.orgpasaliphilippines@yahoo.com.ph ,Community Improvement,"PASALI Philippines Foundation, Incorporated",http://pasaliphilippines.org,"FIL-AM Avenue (Airport Road Purok 13B, Block 3 Brgy. Fatima, General Santos City, 9500 PHILIPPINES"
33 01 42 00 84 89        ,"Passerelles numeriques is a non-profit organization under French law, operating in three Asian countries: Cambodia, the Philippines and Vietnam.Our mission is to enable young underprivileged people to build their employability through education in the digital industry, and leverage their potential and willpower, it allows them and their family to escape poverty in a sustainable way, and contribute to the social and economic development of their country.Our beneficiaries are typically underprivileged or disadvantaged, in extremely precarious situations, according to the criteria PN has defined/specified for each of the countries in which it operates.PN s objective is that at least 90% of the students enrolled in our programs can escape poverty, be professionally more successful relatively to the national average, and take advantage of a ""Gateway for Life"".   ",nathalie.rosselot@passerellesnumeriques.org  ,"Child and Youth Development, Education",Passerelles Numeriques,http://www.passerellesnumeriques.org,"31 rue de l Ourcq, Paris, 75019 FRANCE"
+60422833196042283319       ,"Penang Cheshire Home is a registered charitable organization which runs a home for the physically handicapped. To provide residential accommodation and day care for the physically disable and to provide for the maintenance and welfare of residents and also help them adjust life by training them to become independent and to be able to take their rightful place in society among their able-bodied brethren with dignity activities such as physiotherapy, hydrotherapy, handicraft and contract work.   ",cheshirepg@yahoo.com  ,"Housing and Shelter, Disability",Penang Cheshire Home,http://www.penangcheshirehome.org,"409 Lebuhraya Babington, Georgetown, 10450 MALAYSIA"
81-(0)422-52-550781-(0)422-52-7035       ,"To empower the people of Asia, PH-Japan provides education on health and medical care, as well as medical and health support in disaster relief.    ",hopethaivhb@csloxinfo.com  ,Child and Youth Development,People's Hope Japan,http://www.ph-japan.org/,"2-9-32 Nakacho,, Musashino, 180-8750 JAPAN"
+855 (0) 63 690 5465        ,"Our mission is to work with young Cambodians and connect them to the skills, opportunities and inspirations needed to reach their potential. Our vision is that young Cambodians are empowered to pursue careers to improve the quality of their lives.   ",sarakk@pepyempoweringyouth.org  ,"Child and Youth Development, Community Improvement",PEPY Empowering Youth,http://www.pepyempoweringyouth.org,"No. 28 St. Neak Poan Borey Proem Prey, Trapang Ses Commune, Siem Reap, 17252 CAMBODIA"
66 2 204272166 2 2042722       ,    , yenta@wildaidasia.org ,Animal Welfare,PeunPa Foundation (WildAid Thailand),,"UBC Building II 10th Floor, 591 Sukhumvit 33, Wattana, Bangkok, 10110 THAILAND"
63247516886324751688       ,"The Philippine Animal Welfare Society (PAWS) is a volunteer-based non-government organization whose goal is to prevent animal cruelty through education, animal sheltering and advocacy. PAWS believes that the creation of a more peaceful society starts with the widening of mankind's circle of compassion which includes animals, thereby envisions a nation that respects animals, practices responsible pet ownership and protects wildlife.   ",chalaxamana@yahoo.comphilpaws@yahoo.com ,Animal Welfare,Philippine Animal Welfare Society,http://www.paws.org.ph,"Aurora Blvd., Katipunan Valley Loyola Heights, Quezon City, 1108 PHILIPPINES"
632-921-2093632-924-9297       ,    ,mha.p@pacific.net.ph  ,"Community Improvement, Medicine, Diseases and Disorders",Philippine Mental Health Association,http://www.pmha.org.ph,"18 East Avenue, Quezon City, 1100 PHILIPPINES"
