cause_area,city,country,description,name,website
"Arts & Culture,Community Service,Educational,Human Rights,",Probolinggo,Indonesia,"Yayasan Peduli Anak Negeri (YPAN) is a foundation that cares the surroundings mostly people who are lacking in the field of social, economy, education, culture and good government.",Yayasan Peduli Anak Negeri,http://www.yayasanpeduli.or.id
"Hunger/Poverty,Overseas Aid,",Nanggroe Aceh,Indonesia,IRDÉ??s mission is to reduce the suffering of the worldÉ??s most vulnerable groups and provide tools and resources needed to increase their self-sufficiency.,International Relief And Development Indonesia,http://www.ird-dc.org
"Medical,",Banda Aceh,Indonesia,"Our name is SEFA (Save Emergency for Aceh) an independent humanitarian organization which was found on September 11, 1999. This organization was found by some Acehness students and youth in responding the critical humanitarian condition in Aceh. At the beginning, the activities of SEFA were helping and assisting the IDPs and the condition after displacement due to the vertical conflict (Government vs GAM) in Aceh.",Sefa,http://www.sefa.or.id
,Banda Aceh,Indonesia,"Established as part of the United Nations Development Programme in 1974, UNOPS became an independent, self-financing organization in 1995.",Unops Indonesia,http://www.unops.org
"Research,",Bogor,Indonesia,"The International Potato Center (known worldwide by its Spanish acronym, CIP) seeks to reduce poverty and achieve food security on a sustained basis in developing countries through scientific research and related activities on potato, sweetpotato, other root and tuber crops, and on the improved management of natural resources in the Andes and other mountain areas.",International Potato Center Cip,http://www.eseap.cipotato.org
"Children,Educational,Human Rights,",Bogor,Indonesia,"Padi Nusantara (PADI) is a non-profit organization dedicated to providing underprivileged children in Indonesia greater access to higher-quality, holistic education.",Padi Nusantara,http://www.padinetwork.org
"Environment,",Bogor,Indonesia,Their is a movement of individuals who encourage the management of natural resources berkeadilan (fair between generations and between the elements of nature).,Telepak,http://www.telapak.org
"Environment,",Bogor,Indonesia,"WETLANDS INTERNATIONAL is a global organisation concerned with the promotion of the conservation and wise use of wetlands, has a non-profit/charitable status, and overseen by a global Board comprising representative of member countries, International organisations and wetlands experts.",Wetlands International Indonesia,http://www.wetlands.or.id
,Jakarta,Indonesia,Church World Service (CWS) Indonesia is a US-based organization that has been working in Indonesia since 1964. The main objective of its presence in Indonesia has always been to meet the needs of the most vulnerable people in Indonesia.,Church World Service,http://cwsindonesia.or.id
"Overseas Aid,",Jakarta,Indonesia,"HOPE worldwide Indonesia was established in 1994 with a simple mission to love the poor. A free medical clinic was set up in Muara Baru, North Jakarta, serving the poor and vulnerable fisherman families. Close to 300 volunteers mobilized resources and employ 3 staffs in serving the poor.We are affiliated with HOPE worldwide, an international relief & development ngo (non governmental organization) which is based in Philadelphia, USA. The organization serve close to 1 million annually in developing countries across the globe, such as India, Combadia, Russia, Afganistan, South Afrika, Kenya, Nigeria, Philipinnes, Mexico, Jamaica, Pakistan, Guatemala, Honduras, Bulgaria, Hungary, as well as developed countries like England, Singapore, Hongkong, USA, Canada, and Australia. The affiliates are the committed to the same goal, Bringing hope. Changing lives.",Hope Worldwide Indonesia,http://hopeindonesia.org
"Medical,",Jakarta,Indonesia,"The United Nations Population Fund (UNFPA) is the worldÉ??s largest internationally funded source of population assistance to developing countries. Since it began operations in 1969, the Fund has provided more than $4.5 billion in assistance to virtually all developing countries.",Unfpa Indonesia,http://indonesia.unfpa.org
"Environment,",Jakarta,Indonesia,"Jakarta Green Monster is a community of volunteers who care about the coastal area north of Jakarta, especially Reserve Station Muara Angke (SMMA) and the Night Markets of Hair (SMPR). This community event was facilitated by Fauna and Flora International (FFI) Indonesia Program and the Center Natural Resources Conservation Sumbaer (BKSDA) DKI Jakarta.",Jakarta Green Monsters,http://jgm.or.id/
"Children,Overseas Aid,",Jakarta,Indonesia,"Dear beloved friends in the World,",Maria Monique Last Wish Foundation,http://mariamonique.org
